epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5869.83,0.7369,1.96249,1.41657,0.9953,0.38482,0.55834,0.50076,0.37758,0.37191,0.54294,0.47446,0.3298,0.74132,2.03297,1.5892,1.03231,0.000275625,0.000275625,0.000275625
2,11275.2,0.82176,2.08142,1.08587,1.05213,0.54093,0.4791,0.53997,0.4106,0.53693,0.4677,0.51746,0.37697,0.81658,2.00358,1.29441,1.08876,0.000498516,0.000498516,0.000498516
3,16300,0.8596,2.06387,1.03047,1.07254,0.47473,0.47576,0.49379,0.37751,0.46267,0.46551,0.47346,0.34448,0.80258,2.02346,1.20417,1.05453,0.000666429,0.000666429,0.000666429
4,22166.6,0.80438,1.99696,0.97444,1.04382,0.5684,0.49754,0.55789,0.43833,0.55635,0.48297,0.53743,0.38822,0.72728,1.85331,0.90965,1.0138,0.000585599,0.000585599,0.000585599
5,28037.5,0.77218,1.89595,0.87844,1.03248,0.59227,0.55743,0.60727,0.49236,0.57859,0.54449,0.57954,0.43582,0.68283,1.73058,0.77126,0.98692,0.000503132,0.000503132,0.000503132
6,33868,0.72766,1.82448,0.80946,1.00725,0.62905,0.55345,0.61997,0.4979,0.61589,0.54074,0.59525,0.44648,0.68304,1.69712,0.75766,0.97132,0.000420665,0.000420665,0.000420665
7,39823.3,0.67574,1.72737,0.74847,0.96929,0.85708,0.56636,0.64565,0.5395,0.83792,0.54915,0.61987,0.49212,0.60393,1.58357,0.6742,0.93886,0.000338198,0.000338198,0.000338198
8,45497.9,0.64334,1.6696,0.69784,0.95871,0.66416,0.59503,0.66066,0.56132,0.65002,0.58218,0.63192,0.4989,0.56942,1.49007,0.63214,0.91959,0.000255731,0.000255731,0.000255731
9,51601.4,0.60141,1.55532,0.64832,0.93557,0.85401,0.6108,0.69652,0.60771,0.84931,0.58294,0.64171,0.51246,0.53613,1.3875,0.59689,0.90671,0.000173264,0.000173264,0.000173264
