epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5888.67,0.67834,1.83268,1.19508,0.96332,0.76767,0.4911,0.55778,0.448,0.76647,0.47313,0.53666,0.38791,0.69035,1.94877,1.0406,0.97376,0.000275625,0.000275625,0.000275625
2,12926.5,0.77838,1.87685,0.95462,1.01431,0.60467,0.52807,0.58383,0.44047,0.59073,0.50764,0.55342,0.39948,0.79858,1.99319,1.00715,1.05119,0.000547814,0.000547814,0.000547814
3,18556.5,0.81586,1.9503,0.94378,1.03887,0.61581,0.50031,0.57969,0.43822,0.6083,0.48449,0.55626,0.39318,0.81361,1.90774,0.91797,1.06825,0.000814505,0.000814505,0.000814505
4,24222.1,0.78505,1.9086,0.90998,1.02449,0.5278,0.51451,0.54782,0.42497,0.57621,0.46469,0.52198,0.36095,0.74594,2.04118,1.01412,1.01447,0.00080826,0.00080826,0.00080826
5,30120.7,0.77762,1.8835,0.9006,1.01956,0.80121,0.52334,0.58758,0.45677,0.79372,0.5111,0.55853,0.39835,0.73483,1.80925,0.84617,1.01924,0.000800013,0.000800013,0.000800013
6,35916,0.74555,1.81866,0.84433,1.0072,0.80149,0.57171,0.62048,0.50167,0.78921,0.55412,0.5875,0.44199,0.65436,1.68269,0.76408,0.9651,0.000791767,0.000791767,0.000791767
7,41844.6,0.73469,1.75364,0.82478,0.99774,0.83942,0.55863,0.63168,0.52092,0.82192,0.54114,0.59943,0.44976,0.65538,1.60299,0.71328,0.95544,0.00078352,0.00078352,0.00078352
