epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,664.057,0.78578,1.98607,1.88819,0.98137,0.78819,0.50298,0.56598,0.44393,0.77715,0.49472,0.54554,0.41232,0.73889,1.86932,0.93831,0.95153,0.000275625,0.000275625,0.000275625
2,1732.33,0.79887,1.97338,1.1175,0.97913,0.72377,0.52712,0.53188,0.41131,0.71443,0.51358,0.51287,0.36257,0.77705,1.93889,1.04989,0.97228,0.000498516,0.000498516,0.000498516
3,2536.41,0.81787,1.90492,1.02045,0.99765,0.81903,0.54495,0.60486,0.4723,0.80695,0.53176,0.57827,0.4205,0.75446,1.87194,0.8411,0.94735,0.000666429,0.000666429,0.000666429
4,3233.75,0.79039,1.92566,0.94278,0.98467,0.8206,0.53764,0.60013,0.48532,0.80805,0.52515,0.57686,0.42593,0.70098,1.75442,0.80798,0.93229,0.000585599,0.000585599,0.000585599
5,3762.68,0.75589,1.80261,0.87063,0.96688,0.81744,0.56343,0.62294,0.50129,0.80467,0.54747,0.5965,0.45335,0.67752,1.65271,0.77552,0.92324,0.000503132,0.000503132,0.000503132
6,4501.68,0.72958,1.74966,0.80741,0.95372,0.67086,0.54061,0.64495,0.54193,0.65451,0.53229,0.62025,0.49643,0.62719,1.57183,0.70535,0.88901,0.000420665,0.000420665,0.000420665
7,4983.89,0.68465,1.67598,0.74839,0.93106,0.88581,0.57972,0.66099,0.55442,0.86923,0.56628,0.63437,0.49522,0.60678,1.55514,0.65051,0.88941,0.000338198,0.000338198,0.000338198
8,5675.97,0.65926,1.63527,0.71069,0.92226,0.6697,0.58983,0.66512,0.56658,0.67008,0.55893,0.63376,0.50476,0.59154,1.46225,0.64333,0.88257,0.000255731,0.000255731,0.000255731
9,6211.37,0.62421,1.5312,0.66961,0.90961,0.88168,0.58026,0.67103,0.5777,0.88288,0.55645,0.64174,0.51549,0.55286,1.40745,0.60752,0.86977,0.000173264,0.000173264,0.000173264
10,6788.2,0.60005,1.47404,0.63884,0.89622,0.9058,0.58139,0.6787,0.58768,0.89941,0.56047,0.65202,0.52498,0.53461,1.34235,0.5901,0.85779,9.0797e-05,9.0797e-05,9.0797e-05
