epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,13577.1,0.60729,1.36977,0.63907,0.89909,0.85925,0.62657,0.67981,0.58658,0.88781,0.56767,0.64583,0.51026,0.54142,1.3491,0.57646,0.84226,0.000503132,0.000503132,0.000503132
22,14203.3,0.61793,1.37036,0.63816,0.89747,0.88073,0.61658,0.68773,0.5973,0.86843,0.596,0.65216,0.51933,0.5233,1.27389,0.54688,0.83697,0.000486639,0.000486639,0.000486639
23,14859.1,0.6032,1.30482,0.63579,0.89638,0.86079,0.61241,0.6745,0.5843,0.84421,0.58891,0.63565,0.50808,0.53656,1.29029,0.57322,0.84288,0.000470145,0.000470145,0.000470145
24,15445.1,0.60864,1.32669,0.62067,0.89564,0.8498,0.6266,0.67689,0.58857,0.8616,0.56634,0.62934,0.49847,0.52941,1.20862,0.5714,0.83441,0.000453652,0.000453652,0.000453652
25,16292.9,0.60428,1.31674,0.61706,0.89325,0.88201,0.62337,0.69463,0.60992,0.88238,0.59653,0.65132,0.52762,0.50974,1.16226,0.53543,0.82829,0.000437158,0.000437158,0.000437158
26,17021.3,0.59432,1.27568,0.60422,0.89029,0.90506,0.61331,0.69552,0.60545,0.90225,0.57126,0.6481,0.51516,0.50812,1.16406,0.533,0.83205,0.000420665,0.000420665,0.000420665
27,17807.1,0.58191,1.28607,0.59154,0.89071,0.88094,0.61873,0.69485,0.60728,0.88592,0.57677,0.64386,0.51863,0.51144,1.1713,0.53307,0.82855,0.000404172,0.000404172,0.000404172
28,18377.6,0.57718,1.2427,0.59197,0.88068,0.88804,0.63034,0.69894,0.61561,0.87322,0.5989,0.65173,0.52609,0.49658,1.12793,0.51564,0.82497,0.000387678,0.000387678,0.000387678
29,19014.2,0.57394,1.20445,0.58459,0.88779,0.87326,0.63813,0.70379,0.61786,0.89317,0.57929,0.65247,0.53068,0.49659,1.13176,0.51518,0.82603,0.000371185,0.000371185,0.000371185
30,19695.7,0.5778,1.19678,0.58416,0.88613,0.89175,0.62339,0.70083,0.61711,0.87582,0.58829,0.65067,0.52567,0.49848,1.11286,0.51532,0.82517,0.000354691,0.000354691,0.000354691
31,20241.8,0.56583,1.18274,0.56639,0.87978,0.89562,0.64527,0.70723,0.62122,0.88908,0.59719,0.65203,0.53049,0.49393,1.11794,0.4945,0.82375,0.000338198,0.000338198,0.000338198
32,20863.5,0.56248,1.16195,0.55887,0.88259,0.90373,0.64075,0.71107,0.62664,0.8871,0.60199,0.65264,0.52914,0.4871,1.08484,0.50061,0.82025,0.000321705,0.000321705,0.000321705
33,21499.8,0.55709,1.13552,0.55337,0.87548,0.87961,0.64214,0.70156,0.61967,0.89125,0.57491,0.64224,0.52022,0.48219,1.12089,0.505,0.81968,0.000305211,0.000305211,0.000305211
34,22101.9,0.55294,1.14998,0.55823,0.87429,0.88281,0.64747,0.70801,0.62438,0.88111,0.5855,0.64593,0.52868,0.48379,1.11834,0.49269,0.81746,0.000288718,0.000288718,0.000288718
35,22688.7,0.54663,1.11437,0.53812,0.86812,0.88841,0.65632,0.71464,0.63238,0.88252,0.60756,0.66084,0.54051,0.47157,1.00877,0.47668,0.81271,0.000272224,0.000272224,0.000272224
36,23358,0.54459,1.09784,0.5445,0.8756,0.90448,0.634,0.71317,0.63104,0.88939,0.59772,0.66134,0.53585,0.46295,1.02118,0.47493,0.81172,0.000255731,0.000255731,0.000255731
37,23932.5,0.54407,1.04503,0.52668,0.87161,0.89382,0.65551,0.71428,0.63492,0.90297,0.59156,0.65676,0.54295,0.46613,1.04274,0.47274,0.8117,0.000239238,0.000239238,0.000239238
38,24550.9,0.5337,1.04423,0.52093,0.86416,0.9047,0.66152,0.72006,0.64156,0.90032,0.60634,0.65955,0.5392,0.46182,1.0077,0.46228,0.80939,0.000222744,0.000222744,0.000222744
39,25224.2,0.52646,1.0428,0.51238,0.86603,0.88685,0.67002,0.71798,0.63973,0.88391,0.60888,0.65811,0.54003,0.45746,1.01452,0.45324,0.80949,0.000206251,0.000206251,0.000206251
40,25862.9,0.52085,1.01373,0.49626,0.86382,0.90828,0.66262,0.72131,0.64407,0.89468,0.6179,0.66225,0.54792,0.44775,0.96419,0.44405,0.8076,0.000189757,0.000189757,0.000189757
41,26184.9,0.51002,1.01311,0.48927,0.85301,0.89386,0.6603,0.70977,0.62957,0.86393,0.61356,0.64864,0.53455,0.46903,1.07831,0.47129,0.81205,0.000173264,0.000173264,0.000173264
42,26608.9,0.50006,0.99033,0.4722,0.8464,0.91339,0.6558,0.72367,0.64518,0.90997,0.59794,0.66023,0.54636,0.45428,0.98055,0.44368,0.80814,0.000156771,0.000156771,0.000156771
43,26911.7,0.49133,0.94071,0.46753,0.84983,0.90483,0.65788,0.72059,0.6443,0.90925,0.60056,0.66047,0.54718,0.4445,1.01231,0.4397,0.80476,0.000140277,0.000140277,0.000140277
44,27243,0.48958,0.92938,0.45896,0.84192,0.92168,0.64839,0.72184,0.64664,0.91139,0.61637,0.66669,0.5469,0.44201,1.00526,0.43992,0.80486,0.000123784,0.000123784,0.000123784
45,27864.6,0.48123,0.90991,0.44657,0.84058,0.92801,0.64861,0.72495,0.65099,0.91962,0.60542,0.66467,0.54922,0.4365,0.96343,0.42919,0.79959,0.00010729,0.00010729,0.00010729
46,28614.8,0.47661,0.89968,0.43723,0.83764,0.91032,0.67065,0.72889,0.65445,0.93209,0.59822,0.66704,0.55229,0.43552,0.96981,0.42292,0.80192,9.0797e-05,9.0797e-05,9.0797e-05
47,29339.5,0.46835,0.86042,0.42806,0.83761,0.91591,0.67622,0.73021,0.65875,0.92109,0.60778,0.67173,0.55638,0.42992,0.95653,0.41274,0.79946,7.43036e-05,7.43036e-05,7.43036e-05
48,29972,0.46917,0.87054,0.42736,0.83701,0.91728,0.67704,0.74061,0.66434,0.8912,0.63105,0.66932,0.5517,0.43251,0.97169,0.41026,0.80041,5.78102e-05,5.78102e-05,5.78102e-05
49,30639.1,0.4647,0.84923,0.41842,0.83603,0.91803,0.67403,0.74289,0.6688,0.89463,0.62573,0.67081,0.55486,0.42678,0.95199,0.40623,0.79948,4.13168e-05,4.13168e-05,4.13168e-05
50,31023.4,0.46017,0.84052,0.41188,0.83178,0.92161,0.67225,0.73217,0.65989,0.89417,0.62506,0.6702,0.55636,0.42686,0.95795,0.4042,0.7995,2.48234e-05,2.48234e-05,2.48234e-05
